"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/27 10:28:44 PM GMT+3","Женский","39","Высшее","Юго-западный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","1","1","10","10","Свобода"
"2019/05/27 10:31:08 PM GMT+3","Женский","46","Высшее","Ломоносовский","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","10","1","1","1","1","1","Развлечение"
"2019/05/27 10:31:33 PM GMT+3","Женский","39","Высшее","Щукино","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 5 до 10 километров","8","5","1","6","1","10",""
"2019/05/27 10:34:33 PM GMT+3","Женский","31","Высшее","Хорошево- Мневники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Нет","От 5 до 10 километров","9","3","3","3","6","10","Отдых"
"2019/05/27 10:36:00 PM GMT+3","Женский","37","Среднее специальное","Сокол","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Нет","Более 10 километров","9","1","2","1","2","3","За городом удобно, в городе очень много бордюров и переходов с лестницами, практически нет велодорожек, зато множество полоумных велосипедистов носятся по тротуарам. В Москве пользоваться велосипедом опасно и неудобно."
"2019/05/27 10:36:14 PM GMT+3","Женский","38","Высшее","Аэропорт ","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","От 2 до 5 километров","8","4","9","1","3","8",""
"2019/05/27 10:36:30 PM GMT+3","Мужской","48","Высшее, ученая степень","Раменки ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","8","6","6","9","6","7","Хобби"
"2019/05/27 10:45:04 PM GMT+3","Женский","29","Высшее, ученая степень","Гагаринский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Да, есть","Да, есть","Более 10 километров","9","2","2","2","6","7","Развлечение"
"2019/05/27 10:50:54 PM GMT+3","Женский","45","Высшее","Строгино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 5 до 10 километров","9","8","6","2","9","9","Средство передвижения и физкультура"
"2019/05/27 10:52:09 PM GMT+3","Женский","39","Высшее","Преображенское","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","5","5","1","1","Средство для отдыха, хобби, но не передвижения по городу"
"2019/05/27 10:58:36 PM GMT+3","Женский","37","Высшее","Донской ","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","4","2","2","2","10","10","Сочетание досуга и транспорта "
"2019/05/27 11:01:35 PM GMT+3","Мужской","57","Высшее","Покровское-Стрешнево ","Я безработный","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","10","10","10","10","1","1","??? "
"2019/05/27 11:05:54 PM GMT+3","Женский","38","Среднее специальное","Хорошево мневниках","Декрет","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","3","1","3","3","3","7","Спорт, проведение времени с семьёй, но не средство передвижения в городе. "
"2019/05/27 11:09:15 PM GMT+3","Женский","39","Высшее","Ломоносовский ","Я безработный","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","9","1","3","1","2","7","Удобный способ передвижения за городом. В городе - только покататься по парку - не более. "
"2019/05/27 11:16:37 PM GMT+3","Женский","40","Высшее","Гагаринский ","Декретный отпуск","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","3","10","10","3","4","10","Удовольствие и спорт"
"2019/05/27 11:19:55 PM GMT+3","Женский","35","Высшее","Фили давыдково","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","10","1","1","1","5","8","Ребёнок на нем любит кататься "
"2019/05/27 11:21:19 PM GMT+3","Женский","30","Высшее, ученая степень","Хорошево-Мневники","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","9","1","6","6","3","7",""
"2019/05/27 11:24:00 PM GMT+3","Женский","49","Высшее","Сокольники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","10","1","1","1","3","1","Отдых на природе."
"2019/05/27 11:24:27 PM GMT+3","Мужской","54","Неоконченное высшее","Сокольники ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","3","8","3","5","4",""
"2019/05/27 11:26:24 PM GMT+3","Женский","33","Высшее","Фили Давыдково","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Нет","Более 10 километров","7","1","9","4","10","10",""
"2019/05/27 11:27:04 PM GMT+3","Женский","40","Высшее","Черемушки","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 2 до 5 километров","7","5","3","1","1","5",""
"2019/05/27 11:27:12 PM GMT+3","Женский","45","Высшее","Хорошево-Мневники","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","9","1","1","1","1","1","Велосипед в городе - бесполезная вещь. Велосипедом нужно пользоваться там, где нет дорог с выхлопными газами и людей, которых велосипедисты сшибают и уезжают. И выскакивают на проезжую часть под колеса. И дороги сузили из-за них. Они не нужны в центре. И в парках тоже, людям гулять невозможно. За город их."
"2019/05/27 11:29:52 PM GMT+3","Женский","29","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Нет","Нет","От 2 до 5 километров","3","8","9","3","10","9","Транспорт"
"2019/05/27 11:33:48 PM GMT+3","Мужской","57","Высшее","Академический","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","1","1","1","1","1","Ничто"
"2019/05/27 11:35:53 PM GMT+3","Женский","28","Высшее","Крылатское ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","5","2","2","2","6","7","Возможность позаниматься спортом и  попутно наслаждаться  видами родного города"
"2019/05/27 11:36:08 PM GMT+3","Мужской","19","Среднее общее","Измайлово","Я учусь","Нет","","","","","","Да","Нет","Нет","Более 10 километров","7","5","10","6","4","8","скорее развлечение чем регулярный транспорт"
"2019/05/27 11:36:47 PM GMT+3","Мужской","19","Неоконченное высшее","Фили-давыдково","Я учусь","Нет","","","","","","Да","Нет","Нет","Более 10 километров","3","3","8","1","2","7","Для меня велосипед это круто, но велосипеды очень большие и их трудно тащить по ступенькам, так что я предпочитаю самокат"
"2019/05/27 11:37:44 PM GMT+3","Мужской","19","Неоконченное высшее","Крылатское","Я работаю","Нет","","","","","","Да","Нет","Нет","Менее 2 километров","4","3","1","1","3","7","Средство передвижения для поездок в рамках отдыха"
"2019/05/27 11:45:31 PM GMT+3","Женский","35","Высшее","Донской ","В декретном отпуске ","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","8","8","3","1","Спортивное транспортное средство, возможность ходить в походы"
"2019/05/27 11:46:05 PM GMT+3","Женский","49","Высшее","Воробьёвы горы","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","10","5","10","10","1","1","Раздражающий фактор! Считаю необходимым запретить езду на велосипедах в черте города, кроме велотреков. Велосипед создаёт опасность для окружающих! Велосипедисты зачастую очень агрессивны! Гулять пешком из-за них практически нереально! Кроме того, у нас никогда не будет привычки ездить на велосипеде, как в Европе. Там небольшие расстояния и тёплый климат. Дурацкая затея с этими велосипедами!!!"
"2019/05/27 11:48:58 PM GMT+3","Женский","38","Высшее","Сокольники","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","8","5","1","1","1","5","Спорт"
"2019/05/27 11:49:42 PM GMT+3","Мужской","35","Высшее, ученая степень","Раменки","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 5 до 10 километров","8","1","1","1","2","5","Развлечение"
"2019/05/27 11:51:31 PM GMT+3","Мужской","51","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","5","4","4","10","7","10","Спорт, проведение досуга"
"2019/05/27 11:55:02 PM GMT+3","Женский","34","Высшее","Сокольники ","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","8","1","1","1","7","2","Бюджетное средство передвижения и по совместительству занятие спортом"
"2019/05/28 12:01:38 AM GMT+3","Женский","36","Высшее","Раменки ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","5","10","10","10","5","8","Средство для проведения досуга "
"2019/05/28 12:03:59 AM GMT+3","Женский","27","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Для здоровья, в качестве спортивной нагрузки ","Нет","Да","Да, есть","Нет","От 5 до 10 километров","7","3","1","1","4","10","Транспорт выходного дня"
"2019/05/28 12:04:37 AM GMT+3","Женский","39","Высшее","ЮЗАО","Декрет","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","7","1","8","5","2","5","Спорт"
"2019/05/28 12:07:07 AM GMT+3","Мужской","40","Высшее","Тверской","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Нет","Да, есть","Да, есть","От 5 до 10 километров","3","7","10","3","9","10",""
"2019/05/28 12:08:56 AM GMT+3","Женский","33","Высшее","Сокол","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","Более 10 километров","10","2","2","2","9","10",""
"2019/05/28 12:10:24 AM GMT+3","Женский","34","Высшее","Фили-Давыдково","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Нет","Более 10 километров","9","6","4","1","10","10","Более одушевленное и личное средство транспорта, чем машина"
"2019/05/28 12:16:06 AM GMT+3","Женский","48","Высшее","Хамовники","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","10","2","1","1","1","Геморой для водителя "
"2019/05/28 12:16:26 AM GMT+3","Женский","52","Высшее","Гагаринский","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","10","1","5","1","1","3","Предмет мебели"
"2019/05/28 12:18:09 AM GMT+3","Женский","35","Высшее","Западное Дегунино","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Менее 2 километров","6","4","4","4","3","3","Способ передвижения за городом и в парке."
"2019/05/28 12:21:20 AM GMT+3","Женский"," 30","Высшее","Фили-Давыдково","Декретный отпуск","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","9","4","1","1","1","5","Развлечение"
"2019/05/28 12:24:22 AM GMT+3","Мужской","52","Высшее","Хамовники","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","2","1","10","1","5","5","Я на нем вырос, но сейчас редко катаюсь"
"2019/05/28 12:31:18 AM GMT+3","Женский","37","Высшее, ученая степень","Даниловский","В декрете","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","5","5","6","8","1","7","Очень люблю ходить пешком. К велосипедам равнодушна."
"2019/05/28 12:41:03 AM GMT+3","Мужской","20","Неоконченное высшее","Кунцевский","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Нет","Нет","От 5 до 10 километров","5","3","8","3","9","10",""
"2019/05/28 12:45:37 AM GMT+3","Женский","44","Высшее, ученая степень","ЦАО БАСМАННОЕ ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","10","10","10","10","1","1","Прекрасные ежедневные прогулки по зелёным паркам в тёплое время года в компании с друзьями и НИКОГДА мы не поедем по велодорожкам вдоль городских улиц, вдыхая смрад и гарь зимних реагентов. "
"2019/05/28 12:56:13 AM GMT+3","Женский","42","Высшее","раменки","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","7","7","9","9","4","4",""
"2019/05/28 12:56:44 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 12:56:50 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 12:56:51 AM GMT+3","Мужской","51","Высшее","фили давыдково","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","5","1","1","1","3","1","спорт и отдых"
"2019/05/28 12:56:54 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 12:56:57 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 12:56:59 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 12:57:03 AM GMT+3","Мужской","19","Неоконченное высшее","Московская область","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Туризм","Да","Да","Нет","Нет","Более 10 километров","8","6","5","9","10","1","Средство передвижения "
"2019/05/28 1:04:40 AM GMT+3","Женский","44","Высшее","Цао","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","8","7","9","4","6","9","Для меня это транспорт для отдыха))"
"2019/05/28 1:05:04 AM GMT+3","Женский","48","Высшее","Щукино","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","5","2","2","2","3","4",""
"2019/05/28 1:08:09 AM GMT+3","Женский","33","Высшее, ученая степень","Гагаринский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Да","Нет","Да, есть","Да, есть","От 2 до 5 километров","5","4","2","3","8","7","Самый приятный способ передвижения с мая по октябрь"
"2019/05/28 1:10:41 AM GMT+3","Женский","40","Высшее","Обручевский","Домохозяйка","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","1","10","1","1","1","5","Спортивный снаряд. Но в Москве нереален, так как дышать воздухом в Москве опасно-плохая экология. На даче-катаюсь. Нравится. "
"2019/05/28 1:15:16 AM GMT+3","Женский","44","Высшее","Щукино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 5 до 10 километров","10","1","1","1","4","3",""
"2019/05/28 1:24:23 AM GMT+3","Женский","50","Высшее, ученая степень","Коньково","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","9","2","9","1","2","3","опасность в городе"
"2019/05/28 1:47:36 AM GMT+3","Женский","37","Высшее, ученая степень","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","10","1","1","1","2","5","Загородное развлеченеие. Наши города и стиль жизни не станут голландскими. Я.бы с удовольствием ещдила на работу нс велосипеде, но а) страшно б) негде ставить и негде держать, в)никакой логистики в случае травмы"
"2019/05/28 1:50:44 AM GMT+3","Женский","35","Высшее, ученая степень","хамовники","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","Менее 2 километров","10","1","5","1","1","1",""
"2019/05/28 1:55:31 AM GMT+3","Женский","37","Высшее","Хамовники","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","8","3","9","1","2","3","Развлечение/физ активность для загородной жизни или для детей на дачах/во дворах"
"2019/05/28 1:56:29 AM GMT+3","Мужской","35","Высшее","Не ваше дело","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","Более 10 километров","9","1","8","1","5","9",""
"2019/05/28 1:56:35 AM GMT+3","Мужской","34","Неоконченное высшее","хамовники","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","6","5","7","1","8","6",""
"2019/05/28 2:22:52 AM GMT+3","Мужской","57","Высшее","ццаоц","Я безработный","Нет","","","","","","Нет","Да, есть","Нет","Менее 2 километров","10","1","1","10","1","1",""
"2019/05/28 2:37:53 AM GMT+3","Мужской","33","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","Более 10 километров","10","4","1","10","10","10","Свобода"
"2019/05/28 2:39:32 AM GMT+3","Женский","52","Неоконченное высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","Более 10 километров","10","10","10","10","10","10","Мой друг и соратник! У него есть имя и мы очень дружим!"
"2019/05/28 3:18:29 AM GMT+3","Мужской","47","Высшее, ученая степень","Хамовники","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","9","7","4","3","3","3","Ничего"
"2019/05/28 3:37:20 AM GMT+3","Женский","35","Высшее","Хамовники","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","4","8","1","1","6","10","Удовольствие"
"2019/05/28 4:04:25 AM GMT+3","Женский","43","Высшее, ученая степень","ЦАО ","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","От 5 до 10 километров","8","3","2","3","9","5","Удобство передвижения "
"2019/05/28 4:47:05 AM GMT+3","Женский","40","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","3","1","1","1","3","8","Развлечение"
"2019/05/28 5:42:45 AM GMT+3","Женский","38","Высшее","Хорошево-Мневники","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","5","1","10","1","1","5","Спорт и досуг, но точно не средство передвижения"
"2019/05/28 5:45:42 AM GMT+3","Женский","32","Высшее","Хамовники","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","9","7","1","1","1","1","Спорт. На даче"
"2019/05/28 5:51:41 AM GMT+3","Женский","51","Высшее","Мещанский","Рента","Нет","","","","","","Да","Да, есть","Нет","Более 10 километров","10","1","1","1","1","3","На даче только"
"2019/05/28 6:15:49 AM GMT+3","Женский","45","Высшее, ученая степень","Хамовники","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","8","8","9","9","1","1",""
"2019/05/28 6:15:51 AM GMT+3","Женский","38","Высшее, ученая степень","Фили-Давыдково","Я работаю","Да","от 1 до 5 лет","Да, пользуюсь","Да, пользуюсь","Способ проведения досуга","Да","Нет","Нет","Нет","От 2 до 5 километров","8","6","9","1","5","7","Отдых и положительные эмоции "
"2019/05/28 6:20:56 AM GMT+3","Женский","36","Высшее","Щукино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","От 2 до 5 километров","7","7","8","3","9","9",""
"2019/05/28 6:41:59 AM GMT+3","Мужской","45","Высшее, ученая степень","Хамовники ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","10","2","6","1","1","1","Игрушка"
"2019/05/28 6:42:43 AM GMT+3","Женский","39","Высшее","Раменки","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","8","1","4","8","2","1","Развлечение в специальных отведённых местах, не по городу "
"2019/05/28 6:57:32 AM GMT+3","Женский","36","Высшее","Гагаринский","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","9","2","2","2","2","5",""
"2019/05/28 7:03:22 AM GMT+3","Женский","43","Неоконченное высшее","Щукино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Нет","Более 10 километров","6","1","1","1","10","10","Средство передвижения и удовольствие "
"2019/05/28 7:08:57 AM GMT+3","Женский","47","Высшее","Проспект Вернадского","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","От 2 до 5 километров","3","8","10","3","7","10","Развлечение"
"2019/05/28 7:28:16 AM GMT+3","Женский","38","Высшее","Хорошево-Мневники","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Нет","Нет","Да, есть","Более 10 километров","5","3","8","3","6","5","Досуг и возможность куда-то добраться чуть быстрее, чем пешком"
"2019/05/28 7:30:46 AM GMT+3","Мужской","56","Высшее, ученая степень","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","5","1","1","1","1","1",""
"2019/05/28 7:42:59 AM GMT+3","Женский","30","Высшее","Хамовники ","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","7","5","1","9","6","7","Помеха для водителя. Пока далеко не все в Москве соблюдают правила дорожного движения для велосипедистов. Пренебрегают дорогами созданными специально для них, используют тротуары, трассы, неожиданно выскакивают, не реагируют на сигналы светофора. "
"2019/05/28 7:43:42 AM GMT+3","Мужской","47","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","5","4","5","5","5","6",""
"2019/05/28 7:47:52 AM GMT+3","Женский","33","Высшее","Обручевский","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","9","1","2","2","1","1","Опасный участник движения на дороге, так как не соблюдает правила пдд"
"2019/05/28 7:48:50 AM GMT+3","Мужской","19","Неоконченное высшее","Можайский","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","6","8","9","2","4","9","Одно из множества средств передвижения. "
"2019/05/28 7:51:17 AM GMT+3","Женский","45","Высшее","Преображенское ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","5","1","2","3","Спорт и развлечение"
"2019/05/28 7:58:12 AM GMT+3","Женский","32","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","7","5","7","5","7","7","Отдых и средство передвижения"
"2019/05/28 8:01:16 AM GMT+3","Женский","52","Высшее","Хамовники ","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","6","1","9","2","2","3","Я не умею на нем ездить"
"2019/05/28 8:09:36 AM GMT+3","Женский","42","Высшее","Хамовники","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","2","2","1","1","2","Средство развлечения, для катания в парках и на даче. В мегаполисе в 15млн жителей и гостей и огромной площади это не должно быть средством передвижения. И места для КАТАНИЯ должны быть в парках или велотреках, но не на УДС города. А средства передвижения это - от, личный т, каршенинг, такси. То, что внесли такой хаос в дорожное движение - ужасно. И никаких правил не соблюдают, и по переходам ездят и на красный носятся велосипедисты. Либо уж деревня, либо мегаполис. Но приезжая деревня понятно что выбирает. А я москвичка в 6 поколении. Не много, но достаточно, чтоб понимать разницу в городе-пригороде, удс и парках."
"2019/05/28 8:10:18 AM GMT+3","Мужской","38","Неоконченное высшее","Цао","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Да, есть","Нет","От 2 до 5 километров","8","5","8","1","9","9",""
"2019/05/28 8:16:05 AM GMT+3","Мужской","41","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","1","1","1","1","6","Развлечение"
"2019/05/28 8:22:27 AM GMT+3","Мужской","34","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","1","1","1","1","1","В Москве - идиотская блажь для хипстеров"
